"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223"
"fertility","preservation","involves","","gametes","embryos","gonadal","tissue","oocytes","future","family","building","","approach","","","individuals","understudied","topic","current","","indicates","affirming","therapies","increase","risk","infertility","result","individuals","including","adolescents","receive","counseling","regarding","prior","beginning","affirming","treatment","barriers","exist","adolescents","receiving","counseling","undergoing","desired","objective","narrative","","summarize","","regarding","desire","adolescents","barriers","adolescents","accessing","discuss","potential","","alleviation","barriers","","search","using","following","medical","subject","headings","search","terms","persons","fertility","preservation","adolescents","conducted","searching","pubmed","additional","articles","located","reference","","included","articles","consist","qualitative","quantitative","research","society","guidelines","articles","inception","july","included","","","search","summarized","format","narrative","","barriers","adolescents","include","","form","timing","counseling","potential","worsening","dysphoria","treatment","high","cost","treatment","limited","research","","legal","barriers","","identity","forms","minority","status","compound","barriers","healthcare","general","barriers","adolescents","accessing","significant","increased","research","needed","","mitigate","barriers","solutions","include","increasing","uniformity","timing","counseling","varying","","","providers","advocacy","efforts","mitigate","legal","financial","barriers","increased","research","efforts","","increased","cultural","competency","clinics","offering","","adolescents","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"context","body","image","mental","","individuals","face","distinctive","challenges","stemming","complexities","identity","journey","societal","expectations","body","norms","existing","line","research","topic","remains","limited","","explores","complex","relationship","individuals","body","","body","weight","","eating","concerns","sample","individuals","transgenders","paired","cisgenders","recruited","lgbtq","groups","mailing","lists","participants","completed","various","","assessing","body","image","eating","","depression","body","","propensity","score","matching","performed","different","variables","current","","education","current","self","identified","sexual","orientation","","revealed","individuals","experienced","higher","levels","body","","body","weight","","eating","concerns","compared","cisgender","counterparts","additionally","emerged","protective","factor","older","individuals","demonstrated","improved","body","acceptance","self","esteem","logistic","regression","analyzes","indicated","bulimic","behaviors","depressive","symptoms","appearance","control","beliefs","specific","factors","","associated","findings","highlight","unique","challenges","faced","individuals","navigating","identity","body","image","underscoring","importance","targeted","","support","systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"prevalence","patterns","alcohol","drug","specific","lesbian","bisexual","queer","lgbtq","","established","patterns","substance","related","risk","thoroughly","explored","","","determine","typologies","risk","lgbtq","adults","australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rates","suicidality","self","harm","substantial","","","particularly","younger","groups","objective","scoping","","explore","state","research","conducted","determinants","mental","distress","self","harm","suicidality","","youth","culturally","","","cald","backgrounds","joanna","briggs","institute","methodology","scoping","reviews","used","methodology","guide","inclusion","criteria","","selection","comprehended","publications","","conformity","cultural","linguistic","diversity","focus","young","population","","publications","addressing","self","harm","suicidality","searches","conducted","databases","public","search","engine","yielded","","publications","screened","selected","independent","reviewers","thematic","analysis","used","identify","themes","overarching","findings","screening","","yielded","seven","peer","reviewed","","research","reports","based","case","","","qualitative","interviews","cross","sectional","longitudinal","survey","analyses","themes","approached","retrieved","","include","","factors","suicidality","pathways","contributing","self","harm","suicidality","barriers","facilitators","accessing","services","mental","","","practical","actions","help","mitigate","suicidality","youth","cald","backgrounds","need","consider","impact","trauma","allow","development","trust","therapeutic","relationship","shifts","service","delivery","policy","formulation","necessary","reduce","","potentialise","inclusion","different","racial","ethnic","cultural","sexual","identity","expressions","society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rates","suicidality","self","harm","substantial","","","particularly","younger","groups","objective","scoping","","explore","state","research","conducted","determinants","mental","distress","self","harm","suicidality","","youth","culturally","","","cald","backgrounds","joanna","briggs","institute","methodology","scoping","reviews","used","methodology","guide","inclusion","criteria","","selection","comprehended","publications","","conformity","cultural","linguistic","diversity","focus","young","population","","publications","addressing","self","harm","suicidality","searches","conducted","databases","public","search","engine","yielded","","publications","screened","selected","independent","reviewers","thematic","analysis","used","identify","themes","overarching","findings","screening","","yielded","seven","peer","reviewed","","research","reports","based","case","","","qualitative","interviews","cross","sectional","longitudinal","survey","analyses","themes","approached","retrieved","","include","","factors","suicidality","pathways","contributing","self","harm","suicidality","barriers","facilitators","accessing","services","mental","","","practical","actions","help","mitigate","suicidality","youth","cald","backgrounds","need","consider","impact","trauma","allow","development","trust","therapeutic","relationship","shifts","service","delivery","policy","formulation","necessary","reduce","","potentialise","inclusion","different","racial","ethnic","cultural","sexual","identity","expressions","society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"women","","medicine","academic","","especially","leadership","positions","sought","characterize","career","achievement","milestones","female","versus","male","academic","","chairs","understand","possible","related","differences","pathways","leadership","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","based","quality","measures","generally","intended","promote","","based","practices","proven","improve","","lack","standardized","","diagnostic","codes","dentistry","assessing","association","","oral","","","challenging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hypothesized","cognitive","memory","related","brain","function","cross","hormonal","treatment","activated","subjective","research","topic","produced","inconsistent","","best","knowledge","","investigated","","changes","androgen","treated","female","male","adolescents","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"date","little","research","general","","literacy","","individuals","previous","research","undermines","importance","good","","literacy","sample","article","general","","literacy","","individuals","based","german","survey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"date","little","research","general","","literacy","","individuals","previous","research","undermines","importance","good","","literacy","sample","article","general","","literacy","","individuals","based","german","survey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"self","testing","hivst","individuals","collect","specimens","perform","test","privately","hivst","improved","testing","uptake","coverage","especially","vulnerable","groups","saharan","africa","vulnerable","groups","include","populations","workers","","inject","drugs","lesbian","bisexual","persons","young","women","little","known","determinants","","hivst","groups","scoping","","aims","explore","determinants","","hivst","vulnerable","groups","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","assessed","associations","internalised","","testing","risk","behaviours","adult","saharan","africa","effect","modification","legal","climate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hormone","therapy","important","frequently","used","regarding","replacement","therapy","affirming","therapy","","effective","addressing","symptoms","related","hormone","shortage","effects","described","context","","increased","","risk","","reporting","protective","aspects","exact","impact","","risk","underlying","mechanisms","remain","poorly","understood","article","explores","relationship","","types","","risk","focusing","mechanistic","insights","underlying","hormones","platelet","leukocyte","function","effects","endothelial","adipose","tissue","cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"recent","","facial","feminization","surgery","gained","increasing","popularity","increases","individuals","acceptance","diversity","identity","scarcity","","research","guide","","based","practices","taiwan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","conduct","moderated","mediation","analysis","understand","complex","pathways","structural","stigma","form","sports","bans","associated","suicidal","ideation","behaviors","sexual","minority","adults","cross","sectional","survey","adults","identified","states","washington","conducted","january","february","distal","","distress","mediation","variable","individual","resilience","social","resources","moderation","variables","familiarity","sports","bans","represented","structural","stigma","conditional","","analysis","applied","build","moderated","mediation","model","conditional","direct","indirect","effects","computed","estimated","coefficients","models","based","linear","regression","final","model","explained","nearly","half","variation","suicidal","ideation","behaviors","adults","familiar","familiar","sports","bans","social","resources","","moderated","conditional","indirect","effect","distal","","distress","adjusted","estimate","confidence","interval","","distress","social","resources","influenced","association","structural","stigma","measured","familiarity","sports","bans","suicidal","ideation","behaviors","adults","findings","support","need","future","research","examining","pathway","structural","stigma","suicidal","ideation","behaviors","adults","minority","stress","social","safety","constructs","shape","pathway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"women","especially","women","color","","affected","surveillance","collects","","risk","factors","population","address","developed","surveillance","entitled","national","behavioral","surveillance","women","nhbs","assess","behavioral","contextual","","","","surveillance","monitor","behavioral","risk","factors","prevention","usage","prevalence","women","nhbs","used","respondent","driven","sampling","seven","urban","areas","united","states","trained","interviewers","used","standardized","anonymous","","collect","information","related","behavioral","risk","factors","testing","prevention","services","seven","","project","areas","recruited","","eligible","women","offered","anonymous","testing","overall","seven","project","areas","participants","completed","eligibility","screener","nhbs","seeds","limited","number","initial","participants","chosen","referrals","persons","community","based","","knew","local","population","women","total","participants","eligible","consented","completed","interview","agreed","testing","total","participants","participants","report","identity","woman","woman","resulting","final","sample","women","nhbs","project","area","staff","members","reported","survey","timely","addressed","critical","need","surveillance","population","overlooked","mmwr","supplement","includes","overview","report","nhbs","describes","","history","participant","eligibility","criteria","","","collection","testing","evaluation","project","","performance","","content","specifically","","women","nhbs","reports","supplement","include","information","exposure","prophylaxis","psychosocial","syndemic","conditions","condomless","anal","intercourse","","hormone","homelessness","","association","employment","","","","access","social","support","association","certain","types","violence","harassment","based","verbal","physical","abuse","harassment","physical","intimate","partner","abuse","harassment","sexual","violence","suicidal","ideation","nhbs","provides","important","","related","goals","ending","epidemic","initiative","findings","nhbs","help","guide","community","leaders","clinicians","public","","officials","improving","access","prevention","treatment","services","women"
"treating","identity","fixed","","contribute","considerable","","hinder","accurate","","","inequities","design","effective","preventive","","","adolescents","young","adults","examined","changes","ethnically","racially","","sample","adolescents","young","adults","reported","identity","time","implications","fluidity","public","","potential","effects","","identity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"treating","identity","fixed","","contribute","considerable","","hinder","accurate","","","inequities","design","effective","preventive","","","adolescents","young","adults","examined","changes","ethnically","racially","","sample","adolescents","young","adults","reported","identity","time","implications","fluidity","public","","potential","effects","","identity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","create","continuous","drug","delivery","yield","serum","testosterone","levels","sexually","mature","female","pigs","consistent","serum","testosterone","levels","human","testosterone","enanthate","mixed","medical","grade","silicone","ratio","weight","placed","silastic","tubing","cure","room","temperature","removed","tubing","mold","stored","surgical","implantation","testosterone","enanthate","oxidizes","high","temperatures","implants","stored","cold","implant","long","contained","testosterone","enanthate","minimum","implant","testosterone","enanthate","maximum","implants","testosterone","enanthate","placed","cervical","subcutaneous","implantation","serum","testosterone","assessed","days","silastic","testosterone","enanthate","implants","increase","serum","testosterone","maintain","relatively","constant","state","dose","dependent","manner","days","post","implantation","effective","method","subcutaneous","delivery","large","quantities","testosterone","testosterone","metabolites","compact","implants","large","animal","biomedical","model","species","maintains","increased","circulating","testosterone","levels","weeks","post","implantation","pigs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"socially","constructed","norms","influence","","access","experience","healthcare","norms","negatively","affect","","women","","identities","binary","individuals","","centred","","shared","decision","making","widely","recognised","essential","aspects","healthcare","effective","approaches","enhancing","equality","healthcare","women","women","appear","receive","suboptimal","","centred","","additionally","lack","","","identities","research","lack","awareness","","identities","nurses","healthcare","","enhance","equality","healthcare","women","nurses","nursing","students","encouraged","reflect","unconscious","biases","adopt","stance","cultural","curiosity","","need","improve","","post","registration","training","equality","diversity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"article","provides","context","experiences","medical","","individuals","experience","dysphoria","benefit","oral","","surgeons","mechanism","action","effects","effects","medical","therapies","used","affirming","","reviewed","specific","guidance","anesthetic","","given","trauma","informed","tools","","","","offered","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"national","medical","","neglect","include","","","breast","cervical","cancer","screening","","world","profession","association","","recommends","","risk","cancers","follow","existing","guidelines","cisgender","women","despite","wpath","","","likely","screened","large","","covid","pandemic","limited","access","cancer","screenings","cisgender","","unknown","impacted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","drugs","report","barriers","accessing","substance","treatment","including","provider","mistreatment","little","research","explored","multilevel","factors","shape","capacity","substance","treatment","","provide","affirmative","","","respects","affirms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"onset","covid","pandemic","united","states","march","caused","dramatic","change","","lived","aspects","daily","life","left","undisrupted","pandemic","onset","accompanying","policies","control","spread","disease","previous","research","pandemic","","impacted","mental","","lesbian","bisexual","queer","lgbtq","individuals","potentially","individuals","pandemic","affect","areas","united","states","time","regional","variation","impact","onset","pandemic","depressive","symptoms","lgbtq","individuals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","acid","widely","abused","sedative","hypnotic","euphoric","effects","recent","","witnessed","notable","rise","lgbtq","community","substrate","","transporters","mcts","exhibits","nonlinear","","","saturable","metabolism","absorption","renal","reabsorption","","investigates","impact","exogenous","testosterone","","","","exploring","potential","inhibition","strategy","counteract","toxicity","","females","castrated","male","sprague","dawley","rats","treated","testosterone","placebo","days","administered","doses","inhibitor","administered","","plasma","urine","collected","post","dose","","quantified","validated","assay","sleep","time","sedative","hypnotic","effect","utilized","","endpoint","testosterone","treatment","","affected","","","testosterone","treated","rats","exhibited","","lower","renal","clearance","higher","increased","sedative","effect","testosterone","treated","rats","demonstrated","higher","metabolic","clearance","treatment","increase","renal","total","clearance","improvement","sedative","hypnotic","effect","conclusion","exogenous","testosterone","treatment","induces","significant","alterations","","","inhibition","serve","potential","therapeutic","strategy","overdose","cisgender","male","populations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"emerging","","suggests","lgbtq","cancer","survivors","likely","experience","financial","burden","lgbtq","survivors","lgbtq","cancer","survivors","experience","cost","coping","behaviors","crowdfunding","understudied","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"apply","","lens","disparities","emotional","distress","youth","including","multiple","social","positions","experiences","bias","based","bullying","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"meaningful","community","engagement","prevention","research","crucial","successful","ethically","robust","","","conducted","qualitative","","understand","current","practices","prevention","research","identify","expressed","implicit","reasons","","gaps","highlighted","communities","researchers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"meaningful","community","engagement","prevention","research","crucial","successful","ethically","robust","","","conducted","qualitative","","understand","current","practices","prevention","research","identify","expressed","implicit","reasons","","gaps","highlighted","communities","researchers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"purpose","article","highlight","essentials","facilitating","affirming","nursing","encounters","nonbinary","expansive","tnge","","authors","illustrate","constitutes","affirming","nursing","encounters","","affirming","approaches","conducting","documenting","nursing","assessment","describing","techniques","overcome","","level","challenges","hinder","nurse","ability","establish","affirming","therapeutic","","tnge","","authors","provide","strategies","nurses","improve","","","organization","","","practice","create","","physically","safe","","","spaces","tnge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"argentine","osteoporosis","society","convened","renowned","specialists","","","prepare","local","position","evaluation","bone","","population","identity","recognize","identities","guarantees","free","","","impact","different","affirmation","treatments","bone","mass","topic","","debate","date","","remains","limited","different","societies","issued","suggestions","","reason","believe","relevant","mention","experience","capturing","document","series","suggestions","used","medical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"leaving","fight","epidemic","public","","threat","depends","addressing","inequities","optimal","","consistently","overlooked","research","policy","programming","young","lesbian","bisexual","queer","questioning","intersex","lgbtqi","","living","","engaged","young","lgbtqi","","zimbabwe","better","understand","experiences","living","support","need","september","february","conducted","qualitative","research","lgbtqi","young","","","focus","group","discussions","depth","interviews","participants","accessing","lgbtqi","support","group","zvandiri","established","community","based","program","conducted","thematic","analysis","findings","informed","","development","internal","activities","enhance","inclusivity","lgbtqi","young","","zvandiri","programs","consensus","participants","lgbtqi","living","leads","double","stigma","double","trouble","involving","physical","verbal","harassment","social","exclusion","family","rejection","participants","concealed","lgbtqi","identity","status","situations","withheld","status","lgbtqi","social","spaces","including","community","lgbtqi","services","negatively","impacted","psychosocial","social","","participants","described","positive","experiences","zvandiri","interacting","living","","environment","promoted","self","acceptance","reflecting","prevailing","experiences","participants","cautious","revealing","sexuality","identity","zvandiri","outside","support","group","ensuring","equitable","access","","including","mental","","support","relies","","challenges","experienced","marginalised","critically","important","","impact","","stigma","lgbtqi","young","peoples","social","lives","access","services","community","based","support","programs","positioned","support","advance","group","","rights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"research","stigma","injecting","drug","typically","involved","","male","participants","limited","research","unique","experience","women","inject","drugs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"screening","risk","behaviors","routine","essential","component","adolescent","preventive","","visits","early","","risks","inform","targeted","counseling","","stored","discrete","fields","electronic","","record","adolescent","screening","","used","understand","risk","behaviors","clinic","","support","quality","improvement","projects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mpox","outbreak","affected","","","living","plwh","exposure","prophylaxis","prep","users","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"disseminated","","rare","complication","infection","typically","","self","limiting","asymptomatic","infected","individuals","","disseminated","disease","arise","high","risk","populations","primary","acquired","cellular","","including","aids","transplant","recipients","undergoing","","therapy","unique","case","","","","infiltrative","peyer","patch","disease","bone","marrow","involvement","infected","woman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
