,0
56,"It has been hypothesized that cognitive and memory-related brain function in transgender during cross-sex hormonal treatment might be activated towards that of the subjective gender. However, research on this topic has produced inconsistent results, and to the best of our knowledge no studies have investigated neurocognitive changes in androgen-treated female-to-male (FM) transgender adolescents."
57,"To date, there has been little research on the general health literacy of trans and gender diverse individuals, even though previous research undermines the importance of good health literacy in this sample. The aim of the article is therefore to describe the general health literacy of trans and gender diverse individuals based on a German survey."
58,"To date, there has been little research on the general health literacy of trans and gender diverse individuals, even though previous research undermines the importance of good health literacy in this sample. The aim of the article is therefore to describe the general health literacy of trans and gender diverse individuals based on a German survey."
59,"HIV self-testing (HIVST) is where individuals collect their specimens and perform the HIV test privately. HIVST has improved testing uptake and coverage, especially among vulnerable groups of sub-Saharan Africa (SSA). Vulnerable groups include key populations such as men who have sex with men, sex workers, people who inject drugs, lesbian, gay, bisexual and transgender persons and young women. However, little is known about the determinants and acceptability of HIVST among these groups in SSA. Therefore, this scoping review aims to explore the determinants and acceptability of HIVST among vulnerable groups in SSA."
60,This study assessed the associations of Internalised Homonegativity (IH) with HIV testing and risk behaviours of adult men who have sex with men (MSM) in sub-Saharan Africa (SSA) and effect modification by the legal climate.
61,"Hormone therapy (HT) is important and frequently used both regarding replacement therapy (HRT) and gender affirming therapy (GAHT). While HRT has been effective in addressing symptoms related to hormone shortage, several side effects have been described. In this context, there are some studies that show increased cardiovascular risk. However, there are also studies reporting protective aspects of HT. Nevertheless, the exact impact of HT on cardiovascular risk and the underlying mechanisms remain poorly understood. This article explores the relationship between diverse types of HT and cardiovascular risk, focusing on mechanistic insights of the underlying hormones on platelet and leukocyte function as well as on effects on endothelial and adipose tissue cells."
62,"In recent years, facial feminization surgery (FFS) has gained increasing popularity because of increases in transgender individuals and the acceptance of diversity in gender identity. However, there is still a scarcity of anthropometric research to guide evidence-based practices for FFS in Taiwan."
63,"This study aimed to conduct a moderated mediation analysis to understand further the complex pathways through which structural stigma in the form of transgender sports bans was associated with suicidal ideation and behaviors among sexual and gender minority (SGM) adults.  A cross-sectional survey of 1033 adults who identified as SGM from across the 50 U.S. states and Washington, DC was conducted between January 28 and February 7, 2022. Distal discrimination distress was the mediation variable; individual resilience and social resources were the moderation variables. Familiarity with transgender sports bans represented structural stigma. The conditional process analysis was applied to build a moderated mediation model. Both conditional direct and indirect effects were computed by estimated coefficients. All models were based on linear regression.  Our final model explained nearly half (46%) of the variation in suicidal ideation and behaviors between those SGM adults familiar and those not familiar with transgender sports bans. Social resources significantly moderated the conditional indirect effect of distal discrimination distress (adjusted estimate = -0.23; 95% confidence interval = -0.37 to -0.08).  Both discrimination distress and social resources influenced the association between structural stigma as measured by familiarity with transgender sports bans and suicidal ideation and behaviors among SGM adults. Findings support the need for future research examining the pathway between structural stigma and suicidal ideation and behaviors among SGM adults and how minority stress, social safety, and other constructs shape this pathway."
64,"Transgender women, especially transgender women of color, are disproportionately affected by HIV. However, no surveillance system collects data on HIV risk factors among this population. To address this gap, CDC developed a surveillance system entitled National HIV Behavioral Surveillance Among Transgender Women (NHBS-Trans) to assess behavioral and contextual data through systematic biobehavioral surveillance to monitor behavioral risk factors, prevention usage, and HIV prevalence among transgender women. NHBS-Trans used respondent-driven sampling in seven urban areas in the United States. Trained interviewers used a standardized, anonymous questionnaire to collect information on HIV-related behavioral risk factors, HIV testing, and use of prevention services. Each of the seven participating project areas recruited approximately 200 eligible transgender women and offered anonymous HIV testing. Overall, in the seven project areas, 1,757 participants completed the eligibility screener for NHBS-Trans during 2019-2020; of these, 6.6% were seeds (i.e., a limited number of initial participants who were chosen by referrals from persons and community-based organizations who knew or were part of the local population of transgender women). A total of 1,637 (93.2%) participants were eligible, consented, and completed the interview. Of these, 1,624 (99.2%) agreed to HIV testing. Of the total 1,637 participants, 29 participants did not report identity of woman or transgender woman, resulting in a final sample of 1,608 transgender women. NHBS-Trans project area staff members (n = 14) reported that the survey was timely and addressed a critical need for HIV surveillance in a population that is often overlooked. The MMWR supplement includes this overview report on NHBS-Trans, which describes the methods (history, participant eligibility criteria, questionnaire, data collection, and HIV testing) as well as evaluation of project implementation and the performance of the questionnaire content, specifically the acceptability for transgender women. The other NHBS-Trans reports in the supplement include information on pre-exposure prophylaxis use, psychosocial syndemic conditions and condomless anal intercourse, nonprescription hormone use, homelessness, discrimination and the association between employment discrimination and health care access and use, and social support and the association between certain types of violence and harassment (gender-based verbal and physical abuse or harassment, physical intimate partner abuse or harassment, and sexual violence) and suicidal ideation. NHBS-Trans provides important data related to the goals of the Ending the HIV Epidemic in the U.S. initiative. Findings from NHBS-Trans can help guide community leaders, clinicians, and public health officials in improving access to and use of HIV prevention and treatment services by transgender women."
65,"Treating gender identity as a fixed characteristic may contribute to considerable misclassification and hinder accurate characterization of health inequities and the design of effective preventive interventions for transgender and gender diverse (TGD) adolescents and young adults. We examined changes in how an ethnically and racially diverse sample of TGD adolescents and young adults reported their gender identity over time, the implications of this fluidity on public health, and the potential effects of misclassification of gender identity."
66,"Treating gender identity as a fixed characteristic may contribute to considerable misclassification and hinder accurate characterization of health inequities and the design of effective preventive interventions for transgender and gender diverse (TGD) adolescents and young adults. We examined changes in how an ethnically and racially diverse sample of TGD adolescents and young adults reported their gender identity over time, the implications of this fluidity on public health, and the potential effects of misclassification of gender identity."
67,"The aim of this study was to create a continuous drug delivery system that would yield serum testosterone levels in sexually mature, female pigs consistent with serum testosterone levels of human transgender men. Testosterone enanthate was mixed with medical grade silicone at a ratio of 20 % by weight, placed in silastic tubing to cure at room temperature for 24 h, then removed from the tubing mold and stored at 4 °C until surgical implantation. Testosterone enanthate oxidizes at high temperatures which is why the implants had to be stored cold. Each implant was 9 cm long and contained 0.56 g of testosterone enanthate. A minimum of one implant (0.56 g testosterone enanthate) and a maximum of four implants (2.24 g testosterone enanthate) were placed in the cervical subcutaneous fat of each pig. After implantation, serum testosterone was assessed over 40 days. Silastic testosterone enanthate implants increase serum testosterone and maintain it in a relatively constant state in a dose-dependent manner for ∼ 21-25 days post-implantation. •Effective method for subcutaneous delivery of large quantities of testosterone or testosterone metabolites in compact implants to large animal biomedical model species.•Maintains increased circulating testosterone levels for up to 3, 4 weeks post-implantation in pigs."
68,"Socially constructed gender norms influence people's access to, and experience of, healthcare. Gender norms can negatively affect the health of women, men and people with other gender identities, such as transgender or non-binary individuals. Person-centred care and shared decision-making, which are widely recognised as essential aspects of healthcare, could be effective approaches for enhancing gender equality in healthcare for women. However, many women appear to receive suboptimal person-centred care. Additionally, there is a lack of representation of diverse gender identities in research, as well as a lack of awareness of diverse gender identities among nurses and other healthcare professionals. To enhance gender equality in healthcare for women, nurses and nursing students should be encouraged to reflect on their unconscious biases and adopt a stance of cultural curiosity, while organisations need to improve preregistration and post-registration training on equality and diversity."
69,"This article provides context on the experiences and medical care of individuals who experience gender dysphoria for the benefit of oral and maxillofacial surgeons. The mechanism of action, effects, and side effects of medical therapies used for gender-affirming care are reviewed. Specific guidance for anesthetic care is given. Trauma-informed tools for care of transgender and gender-diverse patients are offered."
70,"Although national medical organizations often neglect to include trans and gender diverse (TGD) people in their breast and cervical cancer screening recommendations, the World Profession Association of Transgender Health recommends that TGD people who are at risk for these cancers follow existing guidelines for cisgender women. Despite WPATH's recommendations, TGD people are less likely to get screened in large part due to discrimination. The COVID-19 pandemic has limited access to cancer screenings among cisgender people, but it is unknown how this has impacted TGD people."
71,"Transgender and gender diverse (TGD) people who use drugs report barriers to accessing substance use treatment, including provider mistreatment. Little research has explored the multilevel factors that shape the capacity of substance use treatment professionals to provide gender-affirmative care (i.e., care that respects and affirms one's gender) to TGD people."
72,"The onset of the COVID-19 pandemic in the United States in March 2020 caused a dramatic change in the way many people lived. Few aspects of daily life were left undisrupted by the pandemic's onset as well as the accompanying policies to control the spread of the disease. Previous research has found that the pandemic may have significantly impacted the mental health of lesbian, gay, bisexual, transgender, and queer (LGBTQ) individuals-potentially more so than other individuals. However, the pandemic did not affect all areas of the United States at the same time, and there may be regional variation in the impact of the onset of the pandemic on depressive symptoms among LGBTQ individuals."
73,"Γ-hydroxybutyric acid (GHB) is widely abused due to its sedative/hypnotic and euphoric effects. In recent years, GHB use has witnessed a notable rise within the LGBTQ+ community. GHB is a substrate of monocarboxylate transporters (MCTs) and exhibits nonlinear toxicokinetics, characterized by saturable metabolism, absorption, and renal reabsorption. This study investigates the impact of exogenous testosterone administration on GHB toxicokinetics and toxicodynamics, exploring the potential of MCT1 inhibition as a strategy to counteract toxicity. Ovariectomized (OVX) females and castrated (CST) male Sprague Dawley rats were treated with testosterone or placebo for 21 days. GHB was administered at two doses (1000 mg/kg or 1500 mg/kg i.v.), and the MCT1 inhibitor AR-C 155858 (1 mg/kg i.v.) was administered 5 min after GHB (1500 mg/kg i.v.) administration. Plasma and urine were collected up to 8 h post-dose, and GHB concentrations were quantified via a validated LC/MS/MS assay. Sleep time (sedative/hypnotic effect) was utilized as the toxicodynamic endpoint. Testosterone treatment significantly affected GHB toxicokinetics and toxicodynamics. Testosterone-treated CST rats exhibited significantly lower renal clearance, higher AUC, and increased sedative effect, while testosterone-treated OVX rats demonstrated higher metabolic clearance. AR-C 155858 treatment led to an increase in GHB renal and total clearance together with an improvement in sedative/hypnotic effect. In conclusion, exogenous testosterone treatment induces significant alterations in GHB toxicokinetics and toxicodynamics, and MCT inhibition can serve as a potential therapeutic strategy for GHB overdose in both cisgender and transgender male populations."
74,"Emerging literature suggests that LGBTQ+ cancer survivors are more likely to experience financial burden than non-LGBTQ+ survivors. However, LGBTQ+ cancer survivors experience with cost-coping behaviors such as crowdfunding is understudied."
75,"To apply an intersectional lens to disparities in emotional distress among youth, including multiple social positions and experiences with bias-based bullying."
76,Meaningful community engagement (CE) in HIV prevention research is crucial for successful and ethically robust study implementation. We conducted a qualitative study to understand the current CE practices in HIV prevention research and to identify expressed and implicit reasons behind translational gaps highlighted by communities and researchers.
77,Meaningful community engagement (CE) in HIV prevention research is crucial for successful and ethically robust study implementation. We conducted a qualitative study to understand the current CE practices in HIV prevention research and to identify expressed and implicit reasons behind translational gaps highlighted by communities and researchers.
78,"The purpose of this article is to highlight the essentials for facilitating gender-affirming nursing encounters for transgender, nonbinary, and other gender expansive (TNGE) people. The authors illustrate what constitutes as gender-affirming nursing encounters by characterizing gender-affirming approaches to conducting and documenting a nursing assessment and describing techniques to overcome institutional-level challenges that may hinder a nurse's ability to establish gender-affirming therapeutic relationships with TNGE people. The authors also provide strategies that nurses can use to improve their health care organization and interprofessional collaborative practice to create psychologically and physically safe health care spaces for TNGE people."
79,"The Argentine Osteoporosis Society convened renowned specialists in the care of transgender people to prepare the first local position on the evaluation of bone health in this population. Law 26.743 on ""Gender Identity"" recognize all identities and guarantees free care throughout the health system. The impact of different gender affirmation treatments on bone mass has been topic of international debate. To date the evidence remains limited and different societies have issued suggestions and recommendations. For this reason, we believe it is relevant to mention our experience, capturing through this document a series of suggestions to be used in medical care."
80,"Leaving nobody behind in the fight to end the HIV epidemic as a public health threat depends on addressing inequities in optimal HIV outcomes. Consistently overlooked in research, policy and programming are young lesbian, gay, bisexual, transgender, queer/questioning and intersex (LGBTQI+) people who are living with HIV. This study engaged young LGBTQI+ people in Zimbabwe to better understand their experiences of living with HIV and the support they need. Between September 2022 and February 2023, we conducted qualitative research with 14 LGBTQI+ young people (18-24 years), (two focus group discussions and in-depth interviews with 5/14). All 14 participants were accessing a LGBTQI+ HIV support group at Zvandiri ('As I Am'), a well-established community-based HIV program. We conducted thematic analysis and key findings informed the collaborative development of internal activities to further enhance inclusivity of LGBTQI+ young people within Zvandiri's programs. There was consensus among participants that being LGBTQI+ and living with HIV leads to ""double stigma and double trouble"", involving physical and verbal harassment, social exclusion and family rejection. Participants concealed their LGBTQI+ identity and HIV status in most situations, and many withheld their HIV status in LGBTQI+ social spaces, including community-led LGBTQI+ services. This negatively impacted their psychosocial well-being and social connectedness. Participants described positive experiences of Zvandiri. Interacting with others living with HIV in a destigmatising environment promoted self-acceptance. However, reflecting their prevailing experiences, participants were cautious about revealing their sexuality and/or gender identity at Zvandiri outside of their support group. Ensuring equitable access to HIV care, including mental health support, relies on understanding the challenges experienced by those most marginalised. Critically important is understanding the impact of intersectional stigma on LGBTQI+ young peoples' social lives, and their access to services. Community-based HIV support programs are well-positioned to support and advance this group's health rights."
81,"Research into stigma and injecting drug use has typically involved predominantly male participants, with limited research about the unique experience of women who inject drugs."
82,"Screening for risk behaviors is a routine and essential component of adolescent preventive health visits. Early identification of risks can inform targeted counseling and care. If stored in discrete fields in the electronic health record (EHR), adolescent screening data can also be used to understand risk behaviors across a clinic or health system or to support quality improvement projects."
83,The 2022 mpox outbreak has affected disproportionately people living with HIV (PLWH) and pre-exposure prophylaxis (PrEP) users.
84,"Disseminated histoplasmosis is a rare complication of infection due to . Typically, histoplasmosis is self-limiting and asymptomatic in infected individuals with immunocompetence. Disseminated disease, however, can arise in high-risk populations with primary or acquired cellular immunodeficiency including HIV/AIDS, transplant recipients, and those undergoing immunosuppressive therapy. Here we describe a unique case of extrapulmonary gastrointestinal histoplasmosis by infiltrative Peyer's patch disease with bone marrow involvement in a transgender HIV-infected woman."
85,"Cabotegravir long-acting (CAB-LA) administered every 2 months was approved in the USA as pre-exposure prophylaxis (PrEP) for individuals at risk of acquiring human immunodeficiency virus (HIV)-1 infection based on the HIV Prevention Trials Network (HPTN) 083 and HPTN 084 clinical trials, which demonstrated superior reduction in HIV-1 acquisition compared with daily oral emtricitabine/tenofovir disoproxil fumarate (FTC/TDF) in men who have sex with men (MSM), transgender women (TGW), and cisgender women. A decision-analytic model was developed to assess the lifetime cost-effectiveness of initiating CAB-LA versus generic oral FTC/TDF for HIV PrEP in the USA from a healthcare sector perspective."
86,"Sexual and gender minority (SGM) people, including lesbian, gay, bisexual, transgender, and queer individuals, are a diverse population with a wide spectrum of gynecologic needs. Institutionalized cisheteronormativity, stigmatization, lack of provider training, and fear of discrimination contribute to health disparities in this patient population. In this article, we review key topics in the gynecologic care of SGM patients and provide strategies to enable gynecologists to provide SGM people with equitable and inclusive full spectrum reproductive health care."
87,"People from the LGBT+ community often face unique healthcare disparities, including barriers to accessing appropriate and respectful care. The purpose of this study was to test the psychometric properties of the Polish-language version of the Lesbian, Gay, Bisexual, and Transgender Development of Clinical Skills Scale (LGBT- DOCSS-PL). Before testing its psychometric properties, the LGBT-DOCSS was translated and adapted from the original English version into Polish. Subsequently, we tested the instrument's psychometric properties on a sample of 415 participants. In addition, internal consistency of the questionnaire was checked with confirmatory factor analysis (CFA). Cronbach's alpha together with discriminative power index were uses as internal consistency measures. There were more female than male participants (58%). More than 57% of the participants were heterosexual and the average age of the respondents was approximately 30 years. The internal consistency of the Polish version and its domains was strong with an overall Cronbach's alpha of 0.789. The alpha ranges for each subscale domains were between 0.780-0.824. The McDonald's omega coefficient was 0.86. The Polish version of the LGBT-DOCSS-PL has good properties of factorial validity."
88,"Interactive communications technologies facilitate identity formation and socio-sexual connection among transgender and gender-diverse young people. However, within their communities, variations in technology use along ethno-racial, sexual and gendered lines, and as facilitators of sexual resilience during the early COVID-19 pandemic, remain under-studied. Among  = 230 transgender and gender-diverse young adults, surveyed between October 2020 and September 2021, latent class analyses characterised participants by preferred functional affordances, such as finding dates, sex and friends (Model 1), and by simultaneous account-keeping across social, dating and 'hookup' apps (Model 2). Werron and Ringel's typology of pandemic practices characterised qualitative descriptions of sexual decision-making attributed to COVID-19. Both fit indices favoured two-class solutions. Model 1 detected an  = 89, 43% 'high interactive communications technologies-enabled intimacy' (versus 'low technology-enabled intimacy') class, in which digitally mediated friendships, dates, sexual encounters and gay/lesbian sexualities, predominated. An  = 38, 17% 'high socio-sexual polymedia' (versus 'low polymedia') class in Model 2 was characterised by simultaneous social media, 'hookup' and dating app usage. 'High' subgroups saw statistically significant reductions in sexual partners, with the high polymedia class also associated with reductions in HIV testing. Qualitative results contextualised these reductions as, predominantly, 'responsive' pandemic practices: reactions to stay-at-home orders."
89,"From 2016 to 2021, the volume of peer-reviewed publications related to tobacco has experienced a significant increase. This presents a considerable challenge in efficiently summarizing, synthesizing, and disseminating research findings, especially when it comes to addressing specific target populations, such as the LGBTQ+ (lesbian, gay, bisexual, transgender, queer, intersex, asexual, Two Spirit, and other persons who identify as part of this community) populations."
90,"The rising self-identifying lesbian, gay, bisexual, transgender, and queer (LGBTQ+) population makes understanding the unique health care needs of sexual and gender minoritized patients an urgent one. The interaction between minority stress and cardiovascular disease has been well described among underrepresented minoritized populations. The underrepresentation of minoritized populations in clinical research is partly responsible for worse cardiovascular outcomes in these populations. The absence of sexual orientation and gender identity and expression (SOGIE) data makes it difficult to understand the cardiovascular health of LGBTQ+ adults, thereby widening health care disparities in this population. Advancing cardiovascular health equity for LGBTQ+ patients must begin with careful and accurate SOGIE data collection."
91,"Transgender and gender diverse (TGD) youth with chronic pain may be at unique risk for psychological distress and associated functional impairment, yet research on the intersection of chronic pain and gender identity is lacking. In a retrospective chart review of 491 participants admitted to a pediatric intensive interdisciplinary pain treatment (IIPT) program in the midwestern United States over an approximately 4-year period, 6.11% were TGD. TGD participants who completed the IIPT program reported significant and large improvements in anxiety, depression, pain catastrophizing, and functional ability. At baseline, TGD participants presented as more emotionally distressed and functionally impaired compared to age-matched, cisgender peers. When accounting for baseline scores, TGD participants who completed the IIPT program reported similar scores to cisgender peers at discharge, yet TGD youth were significantly less likely than cisgender peers to complete the IIPT program. Future directions and implications for clinical practice are discussed."
92,"Avoidant/restrictive food intake disorder (ARFID) is now recognized as a feeding/eating disorder that affects individuals across the lifespan, but research on ARFID in general and particularly in adults remains limited. The purpose of this study was to describe the demographic and clinical characteristics of adults with ARFID seeking treatment at a tertiary care eating disorders program, and to describe the course and outcomes of treatment at three levels of care-inpatient, intensive outpatient, and outpatient individual therapy."
93,"Androgens are important sex hormones in both men and women and are supplemented when endogenous levels are low, for gender transitioning, or to increase libido. Androgens also circulate at higher levels in women with polycystic ovarian syndrome, a condition that increases the risk for cardiovascular diseases including hypertension and arterial stiffness. Since our previous work shows an important role for the G protein-coupled estrogen receptor (GPER) in arterial stiffness, we hypothesized that other hormones including androgens may impact arterial stiffness in female mice via downregulation of GPER."
94,"Transgender and gender-diverse (TGD) individuals are at risk for breast cancer, but are less likely to undergo screening mammograms and appear to suffer poorer cancer-related outcomes than cisgender women. Gender-affirming hormone therapy (GAHT) may be lifesaving for TGD individuals from the perspective of affirming their core identities; however, the effects of GAHT on cancer development, progression, and outcomes are poorly understood."
95,"Violence and harassment toward transgender women are associated with suicidal thoughts and behaviors, and social support might moderate such association. This analysis explored the association between certain forms of violence and harassment and suicidal ideation and moderation by social support. Better understanding of these associations could guide mental health services and structural interventions appropriate to lived experiences of transgender women. This cross-sectional analysis used data from CDC's National HIV Behavioral Surveillance Among Transgender Women. During 2019-2020, transgender women were recruited via respondent-driven sampling from seven urban areas in the United States for an HIV biobehavioral survey. The association between experiencing certain forms of violence and harassment (i.e., gender-based verbal and physical abuse or harassment, physical intimate partner abuse or harassment, and sexual violence) and suicidal ideation was measured using adjusted prevalence ratios and 95% CIs generated from log-linked Poisson regression models controlling for respondent-driven sampling design and confounders. To examine moderation, the extents of social support from family, friends, and significant others were assessed for interaction with certain forms of violence and harassment; if p interaction was <0.05, stratified adjusted prevalence ratios were presented. Among 1,608 transgender women, 59.7% experienced certain forms of violence and harassment and 17.7% reported suicidal ideation during the past 12 months; 75.2% reported high social support from significant others, 69.4% from friends, and 46.8% from family. Experiencing certain forms of violence and harassment and having low-moderate social support from any source was associated with higher prevalence of suicidal ideation. Social support from family moderated the association between experiencing certain forms of violence and harassment and suicidal ideation (p interaction = 0.01); however, even in the presence of high family social support, experiencing certain forms of violence and harassment was associated with higher prevalence of suicidal ideation. Social support did not completely moderate the positive association between experiencing violence and harassment and suicidal ideation. Further understanding of the social support dynamics of transgender women might improve the quality and use of social support. Policymakers and health care workers should work closely with transgender women communities to reduce the prevalence of violence, harassment, and suicide by implementing integrated, holistic, and transinclusive approaches."
96,"Transgender women experience high prevalence of homelessness, which can affect their likelihood of acquiring HIV infection and can lead to poor medical outcomes. CDC analyzed data from the National HIV Behavioral Surveillance Among Transgender Women to identify whether personal characteristics and social factors affecting transgender women were associated with duration of homelessness during the past 12 months. Longer duration and chronic homelessness might indicate greater unmet needs, which increases their likelihood for acquiring HIV infection. Ordinal logistic regression was conducted to calculate adjusted prevalence odds ratios and 95% CIs for transgender women from seven urban areas in the United States experiencing homelessness 30-365 nights, 1-29 nights, and zero nights during the past 12 months. Among 1,566 transgender women, 9% reported 1-29 nights homeless and 31% reported 30-365 nights homeless during the past 12 months. Among participants who reported physical intimate partner violence or forced sex, 50% and 47%, respectively, reported experiencing 30-365 nights homeless. Furthermore, 55% who had been evicted or denied housing because of their gender identity and 58% who had been incarcerated during the past year experienced 30-365 nights homeless. The odds of transgender women experiencing longer duration of homelessness was associated with being younger and having a disability; higher psychological distress scores were associated with longer duration of homelessness. Analysis of social determinants of health found transgender women experiencing longer homelessness to be less educated, living below the Federal poverty level, and having lower social support. Therefore, focusing on HIV prevention and interventions addressing housing instability to reduce the duration of homelessness among transgender women is important. Further, integrating housing services with behavioral health services and clinical care, specifically designed for transgender women, could reduce HIV acquisition risk and improve HIV infection outcomes."
97,"Certain transgender women who seek gender-affirming hormone treatment (GAHT) face economic and social barriers that limit or prevent access to medically supervised GAHT. Transgender women facing such barriers might acquire GAHT without prescription, potentially without proper dosage, administration, and health monitoring in the absence of medical supervision. For this report, survey data were analyzed from 1,165 transgender women in seven urban areas in the United States to examine associations between self-reported use of nonprescription GAHT and known correlates of nonprescription GAHT, including cost, insurance coverage for GAHT, homelessness, receiving money or drugs in exchange for sex during the past 12 months (exchange sex), lack of comfort discussing gender with provider, and lack of health care use. After controlling for complex sampling design, transgender women who reported recent health care use or insurance coverage for GAHT were less likely to report nonprescription GAHT, and those reporting recent exchange sex or recent homelessness were more likely to report nonprescription GAHT. Findings suggest that transgender women were more likely to use GAHT without a prescription in situations of economic and social marginalization (e.g., disengagement from health care, lack of insurance or trans-specific health care, homelessness, or engagement in sex work). Public health professionals can use these results to design effective interventions to facilitate prescribed hormone use among transgender women in the United States, although access to housing, trans-affirming health care, and insurance coverage might be needed to prevent nonprescription use."
98,"Psychosocial and structural syndemic conditions, including polydrug use and experiencing homelessness, frequently co-occur and might jointly increase HIV risk. Limited studies have assessed racial and ethnic differences in exposure to syndemic conditions and behaviors associated with HIV transmission among transgender women. This report examines the relation between syndemic conditions and condomless anal intercourse (CAI) among transgender women in seven urban areas in the United States to develop HIV prevention interventions for transgender women. During 2019-2020, transgender women in seven urban areas were recruited using respondent-driven sampling for a biobehavioral survey. Reported syndemic conditions (psychosocial: polydrug use, sexual violence, and psychological distress; structural: homelessness, incarceration, and exchange sex) were summed to create a syndemic score. Using modified Poisson regression to account for RDS, the study assessed whether the strength of the association between syndemic score and CAI differed by race and ethnicity. To assess additive interaction, the relative excess prevalence owing to interaction (REPI) and 95% CIs for selected pairs of syndemic conditions on CAI prevalence stratified by race and ethnicity were estimated. Of 1,348 transgender women (Black = 546, White = 176, and Hispanic = 626), 55% reported CAI; and 24% reported ≥3 syndemic conditions. Reporting additional syndemic conditions was associated with CAI for White, Hispanic, and Black participants. The association was significantly stronger for White than Black and Hispanic participants. Limited significant superadditive interactions were found, although the majority were between structural syndemic conditions. Racial and ethnic differences in REPI estimates were observed. Reporting more syndemic conditions was associated with increased CAI across racial and ethnic groups, demonstrating that HIV prevention efforts for transgender women should address structural and psychosocial syndemic conditions. Results differed by race and ethnicity, indicating that syndemic-focused interventions for transgender women should be tailored to racial and ethnic groups."
99,"Transgender women experience discrimination in many settings, including in employment. Because employment and health insurance are intertwined in the United States, employment discrimination might be related to lower health insurance coverage and health care use, including gender-affirming care. This analysis used data from transgender women (N = 1,608) in seven urban areas in the United States collected during 2019-2020 to present the prevalence of six discrimination types (employment, housing, bathroom, businesses, health care, and abuse) and to measure the association between employment discrimination (defined as trouble getting a job or fired due to being transgender) and sociodemographic characteristics, health care access, and health care use. Log-linked Poisson regression models were conducted to estimate adjusted prevalence ratios and 95% CIs. Seven in 10 transgender women experienced at least one type of discrimination during the past 12 months. During the same period, 9.9% of transgender women were fired and 32.4% had trouble getting a job because of being transgender. Employment discrimination was associated with younger age and lower socioeconomic status. Having trouble getting a job was associated with health care access and health care use factors, including having no health insurance or having Medicaid only, having an unmet medical need because of cost, never having transgender-specific care, and having an unmet need for gender-affirming procedures. These findings suggest that employment discrimination contributes to transgender women's economic marginalization and their ability to obtain adequate health insurance coverage and achieve their transition goals. These findings might help guide efforts that protect transgender women's right to pursue their work, health, and life goals without discrimination."
100,"CDC recommends pre-exposure prophylaxis (PrEP) for transgender women who have sex with men and who report sexual behaviors that place them at substantial ongoing risk for HIV exposure, including those who engage in nonsterile syringe sharing. Providing transgender women with access to PrEP is a critical strategy for reducing HIV acquisition and ending the HIV epidemic. Survey results from the National HIV Behavioral Surveillance Among Transgender Women were used to assess characteristics associated with past-year discussions of PrEP with a health care provider and PrEP use. Bivariate analyses were conducted to assess the association between covariates (sociodemographic, HIV-associated characteristics, and gender-affirming care) and each outcome, accounting for sampling design. All covariates that were statistically significant at p<0.05 in the bivariate analyses were included in multivariate models, and manual backward elimination was used to obtain final models that retained statistically significant covariates. Among 902 transgender women from seven urban areas in the United States without HIV infection in the analyses, 57% had recently discussed PrEP with a health care provider, and 32% recently had used PrEP. In the final multivariate model, the following subgroups of transgender women were more likely to report recent PrEP use: those who identified as Black or African American or Hispanic or Latina, had two or more sex partners in the past 12 months, had condomless sex in the past 12 months, reported their last sex partner was infected with HIV, had condomless sex with their last sex partner whose HIV status was positive or unknown, ever had transgender-specific health care, and currently had transgender-specific health insurance coverage. Participants who were less likely to have recently used PrEP were those who wanted to but were not currently taking hormones and those aged <40 years. Providing increased access to gender-affirming care and training health care providers who serve transgender women to incorporate PrEP into existing services might increase PrEP use among transgender women."
101,"To address healthcare disparities among transgender and gender diverse (TGD) adolescents, we examined vaccination coverage in those receiving gender-affirming care."
102,"Despite significant strides in reducing gender disparities over the past decades, women still face disparities in several domains. While extensive research has explored the various consequences of gender inequalities for women, this study ( = 493 participants) delves into a less-explored dimension, investigating whether and how perceiving gender inequalities is associated with attitudes toward minorities. Drawing on relative deprivation theory and intra-minority solidarity research, we examined the relationship between women's perceptions of gender inequalities-spanning workplace inequality, domestic inequality, sexual harassment, and social expectations-and attitudes toward gays and lesbians, transgender women, and immigrants. We also explored whether indignation, arising from recognizing unjust circumstances, mediated these relationships, and the moderating role of perceived friends' support for gender equality. The results of the path analyses unveiled a nuanced relationship. While women who were more aware of gender inequalities exhibited more positive attitudes toward gays and lesbians and transgender women, no such relationship was observed regarding immigrants. Indignation and perceived friends' support for gender equality were key factors in fostering positive intergroup attitudes. Regarding their moderating role, perceived social norms only influenced the relationship between indignation and attitudes toward gays and lesbians. These findings shed light on the intricate interplay between gender inequalities and minority group attitudes. Recognizing the multifaceted nature of gender inequality and its emotional impact can catalyze promoting coalitional attitudes and collective action among disadvantaged groups. The study also underscores the potential of close groups' norms in promoting positive intergroup attitudes, warranting further exploration."
